info: Connected to MongoDB {"timestamp":"2020-05-29T05:49:20.300Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T05:49:20.306Z"}
info: Connected to MongoDB {"timestamp":"2020-05-29T05:57:59.014Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T05:57:59.019Z"}
info: Connected to MongoDB {"timestamp":"2020-05-29T05:58:16.529Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T05:58:16.534Z"}
info: Connected to MongoDB {"timestamp":"2020-05-29T05:59:47.563Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T05:59:47.567Z"}
info: Connected to MongoDB {"timestamp":"2020-05-29T06:01:02.280Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T06:01:02.284Z"}
info: Connected to MongoDB {"timestamp":"2020-05-29T07:19:17.777Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T07:19:17.783Z"}
info: Connected to MongoDB {"timestamp":"2020-05-29T07:20:30.577Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T07:20:30.581Z"}
info: Connected to MongoDB {"timestamp":"2020-05-29T07:21:06.956Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T07:21:06.961Z"}
info: Connected to MongoDB {"timestamp":"2020-05-29T07:21:29.088Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T07:21:29.092Z"}
info: Connected to MongoDB {"timestamp":"2020-05-29T07:21:46.487Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T07:21:46.491Z"}
info: Connected to MongoDB {"timestamp":"2020-05-29T07:22:14.665Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T07:22:14.669Z"}
info: Connected to MongoDB {"timestamp":"2020-05-29T13:57:51.646Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T13:57:51.650Z"}
info: Connected to MongoDB {"timestamp":"2020-05-29T13:58:01.010Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T13:58:01.014Z"}
info: Connected to MongoDB mongodb://localhost/vidly.... {"timestamp":"2020-05-29T14:04:08.238Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:04:08.243Z"}
info: Connected to MongoDB mongodb://localhost/vidly.... {"timestamp":"2020-05-29T14:04:53.887Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:04:53.891Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:05:17.005Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:05:17.010Z"}
info: Connected to MongoDB mongodb://localhost/vidly.... {"timestamp":"2020-05-29T14:05:29.183Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:05:29.188Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:13:18.643Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:13:18.653Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:13:56.084Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:13:56.093Z"}
info: Connected to MongoDB mongodb://localhost/vidly.... {"timestamp":"2020-05-29T14:14:27.887Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:14:27.891Z"}
info: Connected to MongoDB mongodb://localhost/vidly.... {"timestamp":"2020-05-29T14:16:05.890Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:16:05.894Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:16:21.272Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:16:21.282Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:18:07.828Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:18:07.844Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:18:44.221Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:18:44.232Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:18:52.366Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:18:52.375Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:19:00.224Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:19:00.233Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:19:07.476Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:19:07.496Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:24:01.728Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:24:01.742Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:25:18.769Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:25:18.782Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:25:56.890Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:25:56.905Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:26:09.125Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:26:09.135Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:27:03.550Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:27:03.558Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:27:50.741Z"}
